table,column name,type,description
bloodgas,encounter_id,char,"Unique identifier for a single controlled desturation session, or clinical encounter (e.g. hospitalization)"
bloodgas,type,char,"Values:
1, ABG
2, VBG"
bloodgas,date,date,"The date the encounter took place (YYYY-MM-DD), offset into the future by some random number of days to preserve anonymity. The offset attempts to preserve seasonality, and is consistent for a given patient between encounters (i.e. the encounter date is offset by the same amount in the future for each encounter for a patient who comes in for multiple breathe down encounters)"
bloodgas,time,time,Time the sample was drawn
bloodgas,*time_resulted,time,Time of the results
bloodgas,sample,int,This sample's index in the sequence of ABG draws in a single encounter
bloodgas,ph,float,"pH, mmHg"
bloodgas,pco2,float,"CO2, mmHg"
bloodgas,po2,float,"O2, mmHg"
bloodgas,so2,float,"Oxygen saturation, percent"
bloodgas,cohb,float,"Carboxyhemoglobin, percent"
bloodgas,methb,float,"Methemoglobin, percent"
bloodgas,thb,float,"Total hemoglobin, g/dL"
bloodgas,k,float,"Potassium, mmol/L"
bloodgas,na,float,"Sodium, mmol/L"
bloodgas,ca,float,"Calcium, mmol/L"
bloodgas,cl,float,"Chloride, mmol/L"
bloodgas,glucose,float,"Glucose, mmol/L"
bloodgas,lactate,float,"Lactate, mmol/L"
bloodgas,p50,float,mmHg
bloodgas,cbase,float,"Base excess, mmol/L"
bloodgas,ETCO2,float,End-tidal CO2
bloodgas,ETO2,float,End-tidal O2
bloodgas,ScalcO2,float,Calculated SO2 value (imputed from EtO2)
bloodgas,RR,float,"Respiratory rate is derived from the ETCO2 wave, assuming that peaks in the CO2 value correspond to the end of the exhalation."
bloodgas,*draw_site,char,Planned: Site label for where blood gas was drawn from; picklist TBD
bloodgas,*_hr,int,Heart rate
bloodgas,*nibp,char,Non-invasive blood pressure
bloodgas,*nibp_mean,int,Mean non-invasive blood pressure (NIBP MAP)
bloodgas,*abp,char,Arterial blood pressure
bloodgas,*abp_mean,int,Mean arterial blood pressure (MAP)
spectrophotometer,patient_id,char,Uniquely generated patient ID (persists between encounters for recurring patients). We suggest hashing the concatenation of site ID + local patient identifier + random generated number so that IDs are not duplicated between collaborators
spectrophotometer,encounter_id,char,"Unique identifier for a single controlled desturation session, or clinical encounter (e.g. hospitalization)"
spectrophotometer,group,char,Anatomic site of measurement.
spectrophotometer,date,date,"The date the encounter took place (YYYY-MM-DD), offset into the future by some random number of days to preserve anonymity. The offset attempts to preserve seasonality, and is consistent for a given patient between encounters (i.e. the encounter date is offset by the same amount in the future for each encounter for a patient who comes in for multiple breathe down encounters)"
spectrophotometer,melanin_index,float,
spectrophotometer,hb_index,float,
spectrophotometer,hb_so2_index,float,%
spectrophotometer,hue,char,Munsell hue
spectrophotometer,value,float,Munsell value
spectrophotometer,chroma,float,Munsell chroma
spectrophotometer,lab_l,float,L* value
spectrophotometer,lab_a,float,a* value
spectrophotometer,lab_b,float,b* value
spectrophotometer,400,float,Wavelength reflectance
spectrophotometer,410,float,Wavelength reflectance
spectrophotometer,420,float,Wavelength reflectance
spectrophotometer,430,float,Wavelength reflectance
spectrophotometer,440,float,Wavelength reflectance
spectrophotometer,450,float,Wavelength reflectance
spectrophotometer,460,float,Wavelength reflectance
spectrophotometer,470,float,Wavelength reflectance
spectrophotometer,480,float,Wavelength reflectance
spectrophotometer,490,float,Wavelength reflectance
spectrophotometer,500,float,Wavelength reflectance
spectrophotometer,510,float,Wavelength reflectance
spectrophotometer,520,float,Wavelength reflectance
spectrophotometer,530,float,Wavelength reflectance
spectrophotometer,540,float,Wavelength reflectance
spectrophotometer,550,float,Wavelength reflectance
spectrophotometer,560,float,Wavelength reflectance
spectrophotometer,570,float,Wavelength reflectance
spectrophotometer,580,float,Wavelength reflectance
spectrophotometer,590,float,Wavelength reflectance
spectrophotometer,600,float,Wavelength reflectance
spectrophotometer,610,float,Wavelength reflectance
spectrophotometer,620,float,Wavelength reflectance
spectrophotometer,630,float,Wavelength reflectance
spectrophotometer,640,float,Wavelength reflectance
spectrophotometer,650,float,Wavelength reflectance
spectrophotometer,660,float,Wavelength reflectance
spectrophotometer,670,float,Wavelength reflectance
spectrophotometer,680,float,Wavelength reflectance
spectrophotometer,690,float,Wavelength reflectance
spectrophotometer,700,float,Wavelength reflectance
pulseoximeter,encounter_id,char,"Unique identifier for a single controlled desturation session, or clinical encounter (e.g. hospitalization)"
pulseoximeter,device,int,OpenOximetery unique device identifier for the SpO2 observation
pulseoximeter,probe_location,int,"1, L1 
2, L2 
3, L3 
4, L4 
5, L5 
6, R1 
7, R2 
8, R3 
9, R4 
10, R5"
pulseoximeter,sample_number,int,This sample's index in the sequence of ABG draws in a single encounter
pulseoximeter,saturation,int,SpO2 reading at the time of the sample
pulseoximeter,pi,float,"The perfusion measurement as reported by the device, typically 'perfusion index'."
device,device_number,int,OpenOx Device ID number
device,*device_manufacturer,char,Manufacturer
device,*device_model,char,Oximeter Model
device,*device_model_version,char,Version number of the model
device,*device_brand,char,Brand
device,device_type,int,"1, Handheld
2, Fingertip
3, Tabletop"
device,device_light_type,int,"1, Reflectance 
2, Transmittance"
device,*probe_type,char,Planned: type of probe (finger/ear etc)
device,*probe_manufacturer,char,Probe manufacturer
device,*probe_model,char,Model number of the probe
device,*probe_version,char,Version number of the probe
device,*device_software_ver,char,"Planned: other metadata (algorithm used, software version)"
device,*device_firmare_ver,char,Firmware version of device
device,*device_purchase_year,int,Device purchase year
device,*probe_purchase_year,int,Probe purchase year
